Files in 'Other' category:
------------------------------
: 78732 files (5.0%)
.res: 24800 files (1.6%)
.final: 24489 files (1.6%)
.pyc: 20286 files (1.3%)
.pyi: 19967 files (1.3%)
.mat: 6843 files (0.4%)
.sir: 6102 files (0.4%)
.map: 5452 files (0.3%)
.odl: 4490 files (0.3%)
.cdf-ms: 3826 files (0.2%)
.xsb: 3697 files (0.2%)
.xrm-ms: 3276 files (0.2%)
.pdb: 2810 files (0.2%)
.sip: 1943 files (0.1%)
.inf_loc: 1888 files (0.1%)
.slang: 1797 files (0.1%)
.odlgz: 1746 files (0.1%)
.slangp: 1692 files (0.1%)
.flat: 1569 files (0.1%)
.precompiled: 1523 files (0.1%)
.kts: 1507 files (0.1%)
.pyo: 1506 files (0.1%)
.gradle: 1462 files (0.1%)
.locmeta: 1206 files (0.1%)
.mfl: 1052 files (0.1%)
.aux: 1015 files (0.1%)
.qm: 976 files (0.1%)
.tik: 964 files (0.1%)
.glslp: 957 files (0.1%)
.lng: 907 files (0.1%)
.jsonlz4: 885 files (0.1%)
.targets: 845 files (0.1%)
.psd1: 844 files (0.1%)
.ps1xml: 840 files (0.1%)
.winmd: 831 files (0.1%)
.marker: 826 files (0.1%)
.lnk: 730 files (0.0%)
._sn: 709 files (0.0%)
.len: 701 files (0.0%)
.editorconfig: 692 files (0.0%)
.udn: 673 files (0.0%)
.man: 653 files (0.0%)
.udd: 647 files (0.0%)
.pom: 606 files (0.0%)
.tps: 598 files (0.0%)
.vsix: 591 files (0.0%)
.resjson: 583 files (0.0%)
.modules: 582 files (0.0%)
.dectest: 572 files (0.0%)
.uplugin: 565 files (0.0%)
.ffx: 564 files (0.0%)
.enc: 560 files (0.0%)
.sha1: 500 files (0.0%)
.snippet: 475 files (0.0%)
.parc: 475 files (0.0%)
.bhc: 473 files (0.0%)
.template: 460 files (0.0%)
.props: 423 files (0.0%)
.sample: 416 files (0.0%)
.hyb: 416 files (0.0%)
.tmsnippet: 408 files (0.0%)
.repositories: 384 files (0.0%)
.osl: 381 files (0.0%)
.pkgdef: 367 files (0.0%)
.mui_0da4e682: 360 files (0.0%)
.in: 358 files (0.0%)
.ipp: 353 files (0.0%)
.aex: 348 files (0.0%)
.3: 344 files (0.0%)
.s: 337 files (0.0%)
.data: 336 files (0.0%)
.out: 326 files (0.0%)
.psm1: 323 files (0.0%)
.pxd: 318 files (0.0%)
.f90: 309 files (0.0%)
.layout: 299 files (0.0%)
.xsl: 294 files (0.0%)
.jmod: 282 files (0.0%)
.ushaderbytecode: 280 files (0.0%)
.prf: 271 files (0.0%)
.glslfx: 265 files (0.0%)
.typed: 247 files (0.0%)
.1: 235 files (0.0%)
.locres: 218 files (0.0%)
.rpy: 209 files (0.0%)
.rpyc: 209 files (0.0%)
.at: 202 files (0.0%)
.d: 201 files (0.0%)
.ptx: 186 files (0.0%)
.rpym: 185 files (0.0%)
.mtlx: 183 files (0.0%)
.myb: 177 files (0.0%)
.lmu: 176 files (0.0%)
.browser: 175 files (0.0%)
.ocl: 171 files (0.0%)
.loggz: 169 files (0.0%)
.rco: 166 files (0.0%)
.0: 163 files (0.0%)
.cjs: 162 files (0.0%)
.body: 162 files (0.0%)
.rpymc: 162 files (0.0%)
.keystream: 160 files (0.0%)
.nlp: 158 files (0.0%)
.pem: 157 files (0.0%)
.v2: 153 files (0.0%)
.cube: 151 files (0.0%)
.pfl: 145 files (0.0%)
.sv: 144 files (0.0%)
.node: 144 files (0.0%)
.p7x: 143 files (0.0%)
.prl: 142 files (0.0%)
.brk: 141 files (0.0%)
.xbf: 141 files (0.0%)
.sig: 136 files (0.0%)
.xbm: 136 files (0.0%)
.uss: 136 files (0.0%)
.mdx: 135 files (0.0%)
.ax: 131 files (0.0%)
.license: 129 files (0.0%)
.pc: 126 files (0.0%)
.qdocconf: 122 files (0.0%)
.aapp: 121 files (0.0%)
.ruleset: 121 files (0.0%)
.tab: 121 files (0.0%)
.inline: 120 files (0.0%)
.itx: 117 files (0.0%)
.ver: 117 files (0.0%)
.aar: 115 files (0.0%)
.vcxproj: 114 files (0.0%)
.mak: 114 files (0.0%)
.storage: 112 files (0.0%)
.filt: 111 files (0.0%)
.resw: 110 files (0.0%)
.f: 110 files (0.0%)
.sst: 110 files (0.0%)
.tim: 108 files (0.0%)
